timestamp,updateId,source,sequenceNumber
1756384600937,75447507854,bookTicker,602
1756384600937,75447507856,bookTicker,603
1756384600938,75447507858,bookTicker,604
1756384600939,75447507859,bookTicker,605
1756384600939,75447507861,bookTicker,606
1756384600940,75447507862,bookTicker,607
1756384600940,75447507864,bookTicker,608
1756384600941,75447507865,bookTicker,609
1756384600941,75447508182,depth5,47
1756384600943,75447507869,bookTicker,610
1756384600943,75447507874,bookTicker,611
1756384600944,75447507877,bookTicker,612
1756384600945,75447507879,bookTicker,613
1756384600945,75447507881,bookTicker,614
1756384600946,75447507885,bookTicker,615
1756384600946,75447507886,bookTicker,616
1756384600947,75447507889,bookTicker,617
1756384600947,75447507891,bookTicker,618
1756384600947,75447507893,bookTicker,619
1756384600948,75447507894,bookTicker,620
1756384600948,75447507895,bookTicker,621
1756384600948,75447507898,bookTicker,622
1756384600949,75447507900,bookTicker,623
1756384600949,75447507908,bookTicker,624
1756384600949,75447507932,bookTicker,625
1756384600950,75447507936,bookTicker,626
1756384600950,75447507944,bookTicker,627
1756384600950,75447507949,bookTicker,628
1756384600951,75447507962,bookTicker,629
1756384600952,75447507963,bookTicker,630
1756384600952,75447507965,bookTicker,631
1756384600952,75447507969,bookTicker,632
1756384600953,75447507982,bookTicker,633
1756384600954,75447507986,bookTicker,634
1756384600954,75447507990,bookTicker,635
1756384600954,75447507993,bookTicker,636
1756384600955,75447507995,bookTicker,637
1756384600956,75447508002,bookTicker,638
1756384600956,75447508003,bookTicker,639
1756384600956,75447508004,bookTicker,640
1756384600956,75447508005,bookTicker,641
1756384600957,75447508006,bookTicker,642
1756384600957,75447508008,bookTicker,643
1756384600957,75447508009,bookTicker,644
1756384600958,75447508012,bookTicker,645
1756384600958,75447508013,bookTicker,646
1756384600959,75447508014,bookTicker,647
1756384600959,75447508015,bookTicker,648
1756384600959,75447508018,bookTicker,649
1756384600960,75447508023,bookTicker,650
1756384600960,75447508024,bookTicker,651
1756384600960,75447508027,bookTicker,652
1756384600961,75447508053,bookTicker,653
1756384600961,75447508055,bookTicker,654
1756384600961,75447508059,bookTicker,655
1756384600962,75447508076,bookTicker,656
1756384600962,75447508077,bookTicker,657
1756384600963,75447508078,bookTicker,658
1756384600963,75447508081,bookTicker,659
1756384600963,75447508117,bookTicker,660
1756384600964,75447508123,bookTicker,661
1756384600964,75447508129,bookTicker,662
1756384600964,75447508146,bookTicker,663
1756384600964,75447508149,bookTicker,664
1756384600965,75447508150,bookTicker,665
